2024-06-13 23:26:02,339 - root - INFO     - Running script: PosixPath('utils/commands/dev.py') (main.py:68)
2024-06-13 23:26:02,348 - dev - DEBUG    - status beep boop (dev.py:34)
2024-06-13 23:26:02,348 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> (inotify_buffer.py:59)
2024-06-13 23:26:02,349 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/__pycache__', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='__pycache__'> (inotify_buffer.py:59)
2024-06-13 23:26:02,349 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/__pycache__', wd=2, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> (inotify_buffer.py:59)
2024-06-13 23:26:02,349 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='commands'> (inotify_buffer.py:59)
2024-06-13 23:26:02,349 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands', wd=3, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> (inotify_buffer.py:59)
2024-06-13 23:26:02,349 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands/__pycache__', wd=3, mask=IN_ISDIR|IN_OPEN, cookie=0, name='__pycache__'> (inotify_buffer.py:59)
2024-06-13 23:26:02,349 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands/__pycache__', wd=4, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> (inotify_buffer.py:59)
2024-06-13 23:26:02,921 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> (inotify_buffer.py:59)
2024-06-13 23:26:02,925 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='commands'> (inotify_buffer.py:59)
2024-06-13 23:26:02,925 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands', wd=3, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> (inotify_buffer.py:59)
2024-06-13 23:26:04,066 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands/release.py', wd=3, mask=IN_OPEN, cookie=0, name='release.py'> (inotify_buffer.py:59)
2024-06-13 23:26:04,067 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/const.py', wd=1, mask=IN_OPEN, cookie=0, name='const.py'> (inotify_buffer.py:59)
2024-06-13 23:26:04,067 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/logging.py', wd=1, mask=IN_OPEN, cookie=0, name='logging.py'> (inotify_buffer.py:59)
2024-06-13 23:26:04,067 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands/dev.py', wd=3, mask=IN_OPEN, cookie=0, name='dev.py'> (inotify_buffer.py:59)
2024-06-13 23:26:04,067 - watchdog.observers.inotify_buffer - DEBUG    - in-event <InotifyEvent: src_path=b'utils/commands/build.py', wd=3, mask=IN_OPEN, cookie=0, name='build.py'> (inotify_buffer.py:59)
